"","kappa.DP","kappa.LoFDP","kappa.mseD","df","lof","DP","LoFDP","mseD.point","LP","LoFLP","mseL"
"1",1,0,0,18,1,100,48.0523576278658,90.0659928373798,97.475258466499,94.9680864325075,10.70290701724
"2",0,1,0,9,10,49.4287085398834,100,62.6360110721028,3.40359230028948,94.7356846756685,2.40023916332514
"3",0,0,1,0,19,0,0,100,0,0,22.861098525497
"4",0.5,0.5,0,11,8,78.4997704057964,88.1258402539077,88.0253458487885,74.721345001875,98.9036241803767,17.6633648816265
"5",0.5,0,0.5,18,1,99.778062621925,48.0371312773281,92.9598032727481,96.6412214888293,94.9655006588625,10.6963795362198
"6",0,0.5,0.5,8,11,64.482931598491,95.9744903966268,87.7249470403229,53.6027303865462,89.7440812971296,24.1312846302297
"7",0.333333333333333,0.333333333333333,0.333333333333333,11,8,82.9596823066633,81.1532809093509,94.0232002034764,88.8695200168425,98.4764542468831,18.6686542085909
"8",0.5,0.25,0.25,13,6,92.0544836448453,67.0445576997257,95.0746244650864,94.6430697411657,98.9514900211345,13.9346262419768
"9",0.25,0.5,0.25,9,10,69.6948484103075,96.2041318909376,86.3997663827527,62.2250409704691,94.3386065161387,23.6662954660459
"10",0.25,0.25,0.5,11,8,83.3193912186897,80.6914780829412,94.153115018448,85.4840123085293,98.3926183919664,17.2113386710488
