"","kappa.LP","kappa.LoFLP","kappa.mseL","df","lof","LP","LoFLP","mseL","DP","LoFDP","mseD_point"
"1",1,0,0,16,3,100,97.2321,12.9856,96.0429,55.3407,91.6166
"2",0,1,0,13,6,1e-04,100,0,28.4888,80.3253,29.7179
"3",0,0,1,4,15,11.8828,34.8094,100,18.6657,38.1439,50.9101
"4",0.5,0.5,0,15,4,99.7461,98.1704,13.8886,94.6857,59.8116,92.3444
"5",0.5,0,0.5,8,11,43.9221,88.0694,49.205,50.4585,80.652,68.5411
"6",0,0.5,0.5,9,10,29.6931,91.876,84.2722,37.1838,71.3823,50.8596
"7",0.333333333333333,0.333333333333333,0.333333333333333,11,8,64.942,98.2286,31.2623,65.9566,77.4103,75.8342
"8",0.5,0.25,0.25,13,6,83.8571,98.8999,23.6463,78.8432,66.5423,83.0125
"9",0.25,0.5,0.25,11,8,73.4931,98.0991,28.3704,71.2039,76.5147,81.5415
"10",0.25,0.25,0.5,9,10,35.5729,92.6595,75.1538,42.6497,75.9373,58.1771
