"","X","kappa.DP","kappa.LoFDP","kappa.mseD","df","lof","DP","LoFDP","mseD","compound","efficiency","tau2"
"1",1,0.333333333333333,0.333333333333333,0.333333333333333,16,9,91.51,90.52,94.68,98.99,"No fixed CP","1"
"2",2,0.4,0.2,0.4,17,8,92.75,88.38,94.56,98.69,"No fixed CP","1"
"3",3,0.25,0.25,0.5,14,11,86.37,94.41,96.32,99.01,"No fixed CP","1"
"4",4,1,0,0,21,4,96.9,61.38,92.67,96.9,"No fixed CP","1"
"5",5,0,1,0,14,11,65.84,99.31,75.77,99.31,"No fixed CP","1"
"6",6,0,0,1,14,11,85.07,81.47,99.36,99.36,"No fixed CP","1"
"7",1,0.333333333333333,0.333333333333333,0.333333333333333,16,9,94.44,91.15,95.29,100,"Fixed CP","1"
"8",2,0.4,0.2,0.4,17,8,95.71,88.99,95.17,100,"Fixed CP","1"
"9",3,0.25,0.25,0.5,14,11,89.13,95.06,96.95,100,"Fixed CP","1"
"10",4,1,0,0,21,4,100,61.81,93.27,100,"Fixed CP","1"
"11",5,0,1,0,14,11,67.94,100,76.26,100,"Fixed CP","1"
"12",6,0,0,1,14,11,87.79,82.03,100,100,"Fixed CP","1"
"13",1,0.333333333333333,0.333333333333333,0.333333333333333,21,4,98.61,95.33,97.05,97.95,"No fixed CP","1/q"
"14",2,0.4,0.2,0.4,20,5,96.4,98.92,96.02,98.04,"No fixed CP","1/q"
"15",3,0.25,0.25,0.5,20,5,97.25,99.88,97,99.12,"No fixed CP","1/q"
"16",4,1,0,0,21,4,97.1,93.61,93.06,97.1,"No fixed CP","1/q"
"17",5,0,1,0,20,5,85.16,99.65,83.31,99.65,"No fixed CP","1/q"
"18",6,0,0,1,9,16,72.14,77.44,100,100,"No fixed CP","1/q"
"19",1,0.333333333333333,0.333333333333333,0.333333333333333,21,4,101.56,95.67,97.05,100,"Fixed CP","1/q"
"20",2,0.4,0.2,0.4,20,5,99.28,99.28,96.02,100,"Fixed CP","1/q"
"21",3,0.25,0.25,0.5,20,5,100.16,100.23,97,100,"Fixed CP","1/q"
"22",4,1,0,0,21,4,100,93.94,93.06,100,"Fixed CP","1/q"
"23",5,0,1,0,20,5,87.7,100,83.31,100,"Fixed CP","1/q"
"24",6,0,0,1,9,16,74.29,77.71,100,100,"Fixed CP","1/q"
