"","kappa.1","kappa.2","kappa.3","criterion","CPs","tau2","df","LP","LoFLP","mseL","compound"
"1",1,0,0,"GL","5CP","1/q",4,0.294628142772599,0.28609660486369,1.27038004686967,0.294628142772599
"2",0,1,0,"GL","5CP","1/q",5,101.635827394213,0.418923327954852,222.898676936934,0.418923327954852
"3",0,0,1,"GL","5CP","1/q",5,1411.01356844096,3651.81679444298,0.765270652428407,0.765270652428407
"4",0.5,0.5,0,"GL","5CP","1/q",4,0.300237092662407,0.273153842674462,1.36455132767047,0.286375480050484
"5",0.5,0,0.5,"GL","5CP","1/q",4,0.30103390142311,0.315810110121744,1.01586007092196,0.552999385577954
"6",0,0.5,0.5,"GL","5CP","1/q",5,0.355373229327901,0.445881587745407,1.00683333481517,0.670021227964005
"7",0.333333333333333,0.333333333333333,0.333333333333333,"GL","5CP","1/q",5,0.408458410513582,0.438533159880315,1.06821684744029,0.576239778498558
"8",0.5,0.25,0.25,"GL","5CP","1/q",4,0.317941704826403,0.293639056888275,1.12505222942554,0.427484503116257
"9",0.25,0.5,0.25,"GL","5CP","1/q",5,0.411381353649481,0.439144292879454,1.16920634530116,0.551870987300706
"10",0.25,0.25,0.5,"GL","5CP","1/q",5,0.439391829117155,0.470963166345379,0.941388031104189,0.654401168245017
